Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
202303070NYK,3/7/2023,Mitchell Robinson,robinmi01,31.41,8,0.875,0,0,,0,0,,3,5,8,0,1,1,2,3,14,16
202303110MEM,3/11/2023,Xavier Tillman Sr.,tillmxa01,27.36,8,0.75,0,0,,0,0,,6,2,8,2,1,1,3,1,12,16
202303130GSW,3/13/2023,Deandre Ayton,aytonde01,35.05,19,0.684,0,0,,1,1,1,3,9,12,1,1,0,3,0,27,39
202303260CHO,3/26/2023,Dwight Powell,poweldw01,3.44,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2
202303290NYK,3/29/2023,Jimmy Butler,butleji01,34.41,10,0.5,0,0,,2,2,1,2,1,3,6,0,0,1,1,12,22
202304020CLE,4/2/2023,Isaiah Jackson,jacksis01,20.55,5,0.2,0,0,,1,2,0.5,0,2,2,1,0,2,2,4,3,12
202304150BOS,4/15/2023,Clint Capela,capelca01,26.32,8,0.75,0,0,,0,0,,0,8,8,0,1,0,0,0,12,16
202304220LAC,4/22/2023,Ivica Zubac,zubaciv01,24.25,5,0.4,0,0,,0,0,,3,6,9,1,1,0,1,1,4,10
202304250PHO,4/25/2023,Ivica Zubac,zubaciv01,23.52,6,0.833,0,0,,6,6,1,4,6,10,2,0,1,2,2,16,18
202305050PHO,5/5/2023,Josh Okogie,okogijo01,10,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,1,2,4
202305160DEN,5/14/2023,Anthony Davis,davisan02,41.5,23,0.609,1,1,1,11,11,1,1,9,10,3,3,2,0,3,40,58
202012260WAS,12/26/2020,Deni Avdija,avdijde01,14.4,2,1,1,1,1,0,1,0,0,3,3,2,0,0,0,4,5,6
202101020HOU,1/2/2021,Marvin Bagley III,baglema01,25.11,13,0.385,1,1,1,1,2,0.5,4,5,9,2,0,0,2,4,12,29
202101060GSW,1/6/2021,James Wiseman,wisemja01,18.01,10,0.5,0,0,,0,0,,1,3,4,0,1,1,3,3,10,20
202101080HOU,1/8/2021,James Ennis III,ennisja01,19.54,7,0.286,0,0,,2,2,1,1,2,3,2,1,0,1,3,6,16
202101100NYK,1/10/2021,Mitchell Robinson,robinmi01,34.23,5,1,0,0,,1,2,0.5,2,3,5,0,1,1,0,0,11,12
202101220CLE,1/22/2021,DeAndre Jordan,jordade01,25.54,4,1,0,0,,1,2,0.5,0,4,4,1,0,3,4,3,9,10
202101290WAS,1/29/2021,Robin Lopez,lopezro01,20.1,5,0.6,0,0,,0,0,,2,2,4,0,0,0,2,1,6,10
202102010CLE,2/1/2021,Ed Davis,davised01,19.36,5,0.6,0,0,,2,2,1,2,3,5,0,0,1,0,2,8,12
202102020UTA,2/2/2021,Rudy Gobert,goberru01,29.29,4,0.5,0,0,,5,6,0.833,1,6,7,2,0,3,3,3,9,14
202102050PHO,2/5/2021,Mason Plumlee,plumlma01,24.25,10,0.5,0,0,,1,2,0.5,4,4,8,1,0,0,1,2,11,22
202102050BRK,2/5/2021,Aron Baynes,baynear01,17.4,7,0.571,1,1,1,0,0,,2,2,4,0,1,0,1,4,9,15
202102090DET,2/9/2021,DeAndre Jordan,jordade01,23.25,5,0.8,0,0,,1,1,1,1,7,8,2,0,1,5,2,9,11
202102110POR,2/11/2021,Enes Freedom,kanteen01,31.54,12,0.417,0,0,,0,0,,7,7,14,2,0,0,1,4,10,24
202102170BOS,2/17/2021,Tristan Thompson,thomptr01,27.03,8,0.75,0,0,,2,2,1,4,3,7,0,3,0,1,2,14,18
202102200POR,2/20/2021,Enes Freedom,kanteen01,33.49,12,0.667,0,0,,3,5,0.6,6,7,13,1,1,0,0,4,19,29
202102230BRK,2/23/2021,Richaun Holmes,holmeri01,26.17,12,0.75,0,0,,0,0,,2,9,11,1,1,1,1,3,18,24
202102230DAL,2/23/2021,Dwight Powell,poweldw01,10.5,4,0.25,0,0,,2,2,1,1,1,2,0,0,0,0,0,4,10
202102240ATL,2/24/2021,Tristan Thompson,thomptr01,25.48,10,0.5,0,0,,3,4,0.75,8,5,13,0,1,0,0,2,13,24
202103020WAS,3/2/2021,Jonas ValanÄiÅ«nas,valanjo01,28.53,11,0.455,0,0,,1,2,0.5,4,12,16,1,1,0,2,5,11,24
202103020WAS,3/2/2021,Moritz Wagner,wagnemo01,11.03,6,0.5,0,0,,1,1,1,2,0,2,0,1,0,1,2,7,13
202103030MIN,3/3/2021,Jarred Vanderbilt,vandeja01,17.55,4,0.75,0,0,,0,0,,0,0,0,0,2,0,1,2,6,8
202103130OKC,3/13/2021,Frank Ntilikina,ntilila01,7,1,0,0,0,,0,0,,0,0,0,1,1,0,0,2,0,2
202103150CHO,3/15/2021,Richaun Holmes,holmeri01,40.59,13,0.615,0,0,,1,2,0.5,1,14,15,6,2,4,1,3,17,28
202103170PHI,3/17/2021,Ben Simmons,simmobe01,45.03,16,0.375,1,1,1,0,0,,4,6,10,12,2,2,7,5,13,33
202103170HOU,3/17/2021,Kevon Looney,looneke01,23.03,3,1,1,1,1,0,0,,2,4,6,2,0,2,1,4,7,7
202103190MIA,3/19/2021,Bam Adebayo,adebaba01,26.19,11,0.727,0,0,,4,5,0.8,3,5,8,5,1,1,0,2,20,27
202103210BRK,3/21/2021,DeAndre Jordan,jordade01,17.19,6,1,0,0,,0,1,0,3,2,5,2,1,1,0,0,12,13
202103230POR,3/23/2021,DeAndre Jordan,jordade01,20.05,2,0.5,0,0,,1,2,0.5,3,7,10,0,0,0,1,3,3,6
202103260LAL,3/26/2021,Isaac Okoro,okorois01,25.3,3,0.667,0,0,,2,2,1,0,1,1,2,1,0,3,2,6,8
202104010LAC,4/1/2021,Ivica Zubac,zubaciv01,28.55,5,0.6,0,0,,2,2,1,1,3,4,1,0,2,0,3,8,12
202104030SAS,4/3/2021,Dejounte Murray,murrade01,34.47,17,0.529,0,0,,2,2,1,3,2,5,5,3,0,3,2,20,36
202104060ATL,4/6/2021,Zion Williamson,willizi01,35.05,18,0.667,1,1,1,9,10,0.9,2,3,5,2,1,0,0,0,34,47
202104070OKC,4/7/2021,Moses Brown,brownmo01,27.03,8,0.25,0,0,,1,3,0.333,7,3,10,0,0,1,2,2,5,19
202104070PHO,4/7/2021,Rudy Gobert,goberru01,36.44,7,1,0,0,,2,2,1,4,14,18,2,3,0,3,2,16,16
202104090NOP,4/9/2021,Steven Adams,adamsst01,27.08,5,0.6,0,0,,1,4,0.25,2,3,5,1,3,3,1,4,7,14
202104090ATL,4/9/2021,Thaddeus Young,youngth01,23.44,4,0.5,0,0,,0,0,,2,3,5,3,0,1,3,1,4,8
202104110CLE,4/11/2021,Steven Adams,adamsst01,26.58,1,0,0,0,,0,0,,1,7,8,3,1,0,2,1,0,2
202104140PHI,4/14/2021,DeAndre Jordan,jordade01,26.02,7,0.857,0,0,,0,0,,2,12,14,5,0,1,1,4,12,14
202104210WAS,4/21/2021,Kevon Looney,looneke01,26.17,3,0.667,0,0,,2,2,1,3,5,8,2,0,1,2,3,6,8
202104230CHO,4/23/2021,Jarrett Allen,allenja01,33.11,6,1,0,0,,3,4,0.75,3,6,9,1,0,0,2,1,15,16
202104250POR,4/25/2021,Jusuf NurkiÄ‡,nurkiju01,29.21,13,0.462,0,0,,4,5,0.8,4,15,19,5,1,2,2,1,16,31
202104290OKC,4/29/2021,Moses Brown,brownmo01,32.15,5,0.4,0,0,,1,2,0.5,4,14,18,1,2,0,3,4,5,12
202105010CLE,5/1/2021,Jarrett Allen,allenja01,35.42,3,0.667,0,0,,2,2,1,3,11,14,2,0,1,3,1,6,8
202105030MEM,5/3/2021,Jonas ValanÄiÅ«nas,valanjo01,34.57,8,0.5,0,0,,3,3,1,7,9,16,1,0,3,2,1,11,19
202105040OKC,5/4/2021,Richaun Holmes,holmeri01,30.53,12,0.5,0,0,,1,2,0.5,3,4,7,3,0,1,3,2,13,26
202105040DET,5/4/2021,Bismack Biyombo,biyombi01,24.27,3,0.333,0,0,,0,0,,1,5,6,1,0,2,2,3,2,6
202105060LAC,5/6/2021,Andre Drummond,drumman01,22.26,5,0.6,0,0,,3,6,0.5,2,4,6,0,1,1,1,5,9,16
202105070PHI,5/7/2021,Willy HernangÃ³mez,hernawi01,23.49,10,0.5,0,0,,1,2,0.5,4,5,9,5,2,0,1,3,11,22
202105100MEM,5/10/2021,Willy HernangÃ³mez,hernawi01,24.28,14,0.429,0,0,,3,6,0.5,4,4,8,4,0,0,2,3,15,34
202105110GSW,5/11/2021,Deandre Ayton,aytonde01,31.38,5,0.8,0,0,,0,0,,3,5,8,0,0,2,1,0,8,10
202105150MIL,5/15/2021,Bam Adebayo,adebaba01,33.13,9,0.222,0,0,,1,1,1,1,7,8,8,2,0,2,1,5,19
202105160SAS,5/16/2021,Jakob Poeltl,poeltja01,29.52,14,0.571,0,0,,1,3,0.333,3,7,10,0,0,3,0,0,17,31
202105180IND,5/18/2021,Bismack Biyombo,biyombi01,3.2,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
202105260NYK,5/26/2021,Elfrid Payton,paytoel01,5,2,0,0,0,,1,2,0.5,0,0,0,0,1,0,0,0,1,6
202106020PHI,6/2/2021,Daniel Gafford,gaffoda01,28.44,4,0.75,0,0,,2,4,0.5,1,6,7,0,2,2,2,5,8,12
202106030LAL,6/3/2021,Anthony Davis,davisan02,5.2,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0
202106180ATL,6/18/2021,Ben Simmons,simmobe01,25.27,6,0.333,0,0,,2,4,0.5,2,7,9,5,0,1,2,5,6,16
202106200PHO,6/20/2021,Deandre Ayton,aytonde01,36.32,14,0.714,0,0,,0,0,,3,6,9,2,0,0,1,1,20,28
202107140MIL,7/11/2021,Deandre Ayton,aytonde01,38.38,9,0.333,0,0,,0,0,,1,16,17,5,0,3,2,2,6,18
202107170PHO,7/17/2021,P.J. Tucker,tuckepj01,24.08,2,0.5,1,1,1,0,0,,0,1,1,1,1,0,1,5,3,5
202107200MIL,7/20/2021,Deandre Ayton,aytonde01,36.12,12,0.333,0,0,,4,5,0.8,1,5,6,1,2,2,2,5,12,29
202210190SAC,10/19/2022,Jusuf NurkiÄ‡,nurkiju01,25.11,9,0.333,0,0,,2,2,1,2,5,7,1,2,0,4,1,8,20
202210190MEM,10/19/2022,Mitchell Robinson,robinmi01,12.4,3,0.667,0,0,,0,1,0,2,0,2,0,0,2,0,5,4,7
202210230ATL,10/23/2022,Mason Plumlee,plumlma01,26.25,4,0.5,0,0,,4,9,0.444,1,7,8,6,0,1,2,2,8,17
202210230NOP,10/23/2022,Zion Williamson,willizi01,29.53,16,0.625,0,0,,5,6,0.833,2,4,6,1,1,2,4,3,25,38
202210240PHI,10/24/2022,P.J. Tucker,tuckepj01,20.27,1,1,1,1,1,0,0,,1,2,3,1,0,0,0,2,3,3
202210280MIL,10/28/2022,Mitchell Robinson,robinmi01,20.24,5,0.4,0,0,,1,2,0.5,5,4,9,1,0,2,0,5,5,12
202210300CLE,10/30/2022,Mitchell Robinson,robinmi01,20.46,6,0.333,0,0,,0,0,,6,1,7,2,1,0,2,5,4,12
202211020DAL,11/2/2022,JaVale McGee,mcgeeja01,7.59,2,1,0,0,,0,0,,0,2,2,0,1,0,0,1,4,4
202211040NOP,11/4/2022,Kevon Looney,looneke01,24.35,3,0.667,0,0,,1,1,1,1,4,5,2,0,0,0,5,5,7
202211060LAL,11/6/2022,Anthony Davis,davisan02,32.45,12,0.583,0,0,,5,9,0.556,3,9,12,4,0,1,1,4,19,33
202211090BRK,11/9/2022,Jericho Sims,simsje01,26.37,3,1,0,0,,1,2,0.5,3,3,6,0,1,3,0,3,7,8
202211100WAS,11/10/2022,Anthony Gill,gillan01,15.23,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,4,2,4
202211160DAL,11/16/2022,Alperen ÅžengÃ¼n,sengual01,26.13,10,0.5,0,0,,4,5,0.8,4,3,7,1,0,5,4,2,14,25
202211190POR,11/19/2022,Jusuf NurkiÄ‡,nurkiju01,27.08,10,0.8,1,1,1,1,3,0.333,2,5,7,2,1,0,5,4,18,24
202211210LAC,11/21/2022,Jarred Vanderbilt,vandeja01,24.06,4,0.25,0,0,,4,4,1,3,7,10,5,1,0,3,1,6,12
202211280PHI,11/28/2022,P.J. Tucker,tuckepj01,28.13,0,,0,0,,0,0,,0,3,3,0,0,0,1,3,0,0
202211280UTA,11/28/2022,Ayo Dosunmu,dosunay01,21.38,5,0.6,0,0,,2,2,1,2,2,4,3,0,0,1,3,8,12
202212040NYK,12/4/2022,Mitchell Robinson,robinmi01,33.33,2,1,0,0,,1,2,0.5,3,8,11,0,3,1,1,3,5,6
202212050TOR,12/5/2022,Christian Koloko,kolokch01,22.06,1,1,0,0,,3,4,0.75,1,2,3,2,0,1,1,3,5,6
202212090BRK,12/9/2022,Clint Capela,capelca01,28.52,11,0.545,0,0,,3,4,0.75,4,7,11,1,1,1,1,2,15,26
202212090CHO,12/9/2022,Mason Plumlee,plumlma01,29.41,7,0.714,0,0,,3,6,0.5,3,6,9,3,2,1,2,4,13,20
202212200DET,12/20/2022,Jalen Duren,durenja01,30.21,9,0.778,0,0,,1,1,1,6,8,14,0,0,0,1,3,15,19
202212220UTA,12/22/2022,Jarred Vanderbilt,vandeja01,28.22,1,1,1,1,1,0,0,,0,5,5,1,0,0,1,1,3,3
202212260SAS,12/26/2022,Jeremy Sochan,sochaje01,31.08,8,0.375,0,0,,0,0,,1,4,5,3,1,0,2,1,6,16
202212270WAS,12/27/2022,P.J. Tucker,tuckepj01,18.57,1,0,0,0,,0,0,,2,1,3,0,1,0,0,1,0,2
202212290IND,12/29/2022,Andrew Nembhard,nembhan01,27.39,1,1,1,1,1,0,0,,0,3,3,4,0,0,1,1,3,3
202212290TOR,12/29/2022,Christian Koloko,kolokch01,12.37,3,0.667,0,0,,0,0,,1,1,2,1,0,2,1,1,4,6
202212300ATL,12/30/2022,Onyeka Okongwu,okongon01,42.35,11,0.727,0,0,,1,2,0.5,3,5,8,0,2,3,2,4,17,24
202301060NOP,1/6/2023,Jonas ValanÄiÅ«nas,valanjo01,25.55,11,0.455,0,0,,2,2,1,4,6,10,0,0,0,3,3,12,24
202301100MIA,1/10/2023,Eugene Omoruyi,omorueu01,16.02,3,0.667,0,0,,0,0,,1,1,2,2,0,0,0,2,4,6
202301130WAS,1/13/2023,Mitchell Robinson,robinmi01,28.24,4,0.5,0,0,,0,2,0,5,5,10,0,0,3,0,6,4,10
202301160NYK,1/16/2023,Mitchell Robinson,robinmi01,36.41,8,0.625,0,0,,1,2,0.5,5,3,8,2,0,1,1,2,11,18
202301160CLE,1/16/2023,Jonas ValanÄiÅ«nas,valanjo01,34.59,9,0.778,1,1,1,7,9,0.778,2,11,13,2,0,1,4,3,22,28
202301180LAL,1/18/2023,Thomas Bryant,bryanth01,18.32,7,0.571,0,0,,0,0,,1,3,4,2,0,0,0,1,8,14
202301190BOS,1/19/2023,Robert Williams,williro04,27.04,8,0.75,0,0,,2,3,0.667,7,4,11,2,0,0,2,1,14,19
202301230POR,1/23/2023,Jakob Poeltl,poeltja01,15.45,8,0.75,0,0,,2,2,1,4,3,7,2,1,0,1,5,14,18
202302030DET,2/3/2023,Mason Plumlee,plumlma01,31.23,6,0.333,0,0,,9,14,0.643,2,2,4,5,1,0,1,4,13,26
202302150PHI,2/15/2023,Jarrett Allen,allenja01,38.04,6,0.833,0,0,,2,2,1,5,2,7,4,0,0,0,3,12,14
202302230CLE,2/23/2023,Isaac Okoro,okorois01,20.09,1,1,0,0,,0,0,,2,0,2,1,0,0,0,4,2,2
202302240MIN,2/24/2023,Rudy Gobert,goberru01,30.02,9,0.778,0,0,,3,4,0.75,3,7,10,0,1,3,1,2,17,22
202302250CHO,2/25/2023,Mark Williams,willima07,28.58,12,0.75,0,0,,0,0,,7,13,20,0,1,1,1,4,18,24
202302250ORL,2/25/2023,Markelle Fultz,fultzma01,31.21,14,0.429,0,0,,6,6,1,2,3,5,3,1,0,4,3,18,34
202302270PHI,2/27/2023,Bam Adebayo,adebaba01,32.14,14,0.286,0,0,,5,6,0.833,2,5,7,2,1,1,5,3,13,34
202303200UTA,3/19/2023,Domantas Sabonis,sabondo01,38.04,11,0.364,0,0,,3,4,0.75,2,10,12,9,1,0,1,3,11,26
202303260GSW,3/26/2023,Rudy Gobert,goberru01,34.2,3,0.333,0,0,,8,12,0.667,4,14,18,2,0,1,4,5,10,18
202303270SAC,3/27/2023,Domantas Sabonis,sabondo01,39.56,14,0.786,0,0,,2,3,0.667,3,7,10,4,1,0,3,6,24,31
202304060PHO,4/6/2023,DeAndre Jordan,jordade01,30.03,6,1,0,0,,0,0,,3,8,11,1,0,0,1,1,12,12
202304070LAL,4/7/2023,Jarred Vanderbilt,vandeja01,16.45,2,0,0,0,,0,0,,0,4,4,0,0,0,0,1,0,4
202304160MEM,4/16/2023,Xavier Tillman Sr.,tillmxa01,21.52,4,0.25,0,0,,0,0,,0,3,3,3,1,0,0,2,2,8
202012230BOS,12/23/2020,Tristan Thompson,thomptr01,22.24,10,0.6,0,0,,0,0,,4,4,8,1,0,0,0,3,12,20
202101040TOR,1/4/2021,Daniel Theis,theisda01,13.43,1,1,0,0,,0,2,0,1,2,3,0,0,0,0,1,2,4
202101120PHI,1/12/2021,Precious Achiuwa,achiupr01,35.4,10,0.7,0,0,,3,4,0.75,6,7,13,3,0,1,3,4,17,24
202101140TOR,1/14/2021,Bismack Biyombo,biyombi01,24.51,8,0.625,0,0,,0,0,,4,4,8,1,0,1,1,1,10,16
202101170LAC,1/17/2021,Ivica Zubac,zubaciv01,16.11,3,1,0,0,,0,0,,1,5,6,2,1,1,1,4,6,6
202101180MEM,1/18/2021,Brandon Clarke,clarkbr01,34.47,13,0.615,1,1,1,0,0,,2,3,5,3,2,0,1,1,17,27
202101220PHI,1/22/2021,Tristan Thompson,thomptr01,26.01,6,0.333,0,0,,0,0,,1,4,5,0,0,1,0,5,4,12
202101240MIL,1/24/2021,Onyeka Okongwu,okongon01,15.46,2,1,0,0,,0,2,0,1,1,2,0,1,3,0,4,4,6
202101240SAS,1/24/2021,Robin Lopez,lopezro01,24.25,5,0.6,0,0,,2,2,1,3,4,7,5,0,1,2,1,8,12
202101280DET,1/28/2021,Marc Gasol,gasolma01,25,2,0,0,0,,0,0,,2,7,9,4,0,0,1,1,0,4
202101280PHO,1/28/2021,Kevon Looney,looneke01,15.3,2,0.5,0,0,,0,0,,1,3,4,1,2,0,0,1,2,4
202101290NYK,1/29/2021,Mitchell Robinson,robinmi01,22.16,3,0.667,0,0,,2,2,1,2,2,4,1,1,3,2,5,6,8
202102050OKC,2/5/2021,Josh Okogie,okogijo01,9.2,3,0,0,0,,0,0,,0,1,1,1,2,1,1,0,0,6
202102110DET,2/11/2021,Isaiah Stewart,stewais01,31.1,9,0.889,0,0,,1,2,0.5,4,3,7,1,2,1,0,4,17,20
202102120CHI,2/12/2021,Daniel Gafford,gaffoda01,7.4,1,0,0,0,,2,2,1,1,1,2,1,1,1,4,2,2,4
202102130PHO,2/13/2021,Deandre Ayton,aytonde01,26.48,6,0.833,0,0,,1,2,0.5,1,5,6,0,0,0,2,3,11,14
202102150NYK,2/15/2021,Clint Capela,capelca01,36.09,11,0.636,0,0,,1,2,0.5,6,12,18,1,1,2,2,3,15,24
202102160PHO,2/16/2021,DeAndre Jordan,jordade01,28.04,4,1,0,0,,1,1,1,3,3,6,3,0,1,2,2,9,9
202102170CHI,2/17/2021,Mason Plumlee,plumlma01,33.08,9,0.556,0,0,,1,3,0.333,2,6,8,3,0,0,1,5,11,21
202102240CLE,2/24/2021,Jae'Sean Tate,tateja01,29.54,8,0.375,0,0,,2,2,1,4,3,7,1,0,0,1,5,8,18
202103030POR,3/3/2021,Draymond Green,greendr01,36.17,5,0.4,1,1,1,0,0,,3,6,9,12,3,0,3,5,5,11
202103140HOU,3/14/2021,Daniel Theis,theisda01,6.2,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
202103140OKC,3/14/2021,Jonas ValanÄiÅ«nas,valanjo01,29.47,10,0.6,0,0,,4,7,0.571,6,8,14,4,2,0,1,3,16,27
202103180POR,3/18/2021,Zion Williamson,willizi01,36.15,17,0.529,0,0,,8,11,0.727,3,7,10,3,1,2,4,1,26,45
202103210DET,3/21/2021,Mason Plumlee,plumlma01,28.36,4,0.75,0,0,,6,8,0.75,1,9,10,3,4,2,1,4,12,16
202103260CHO,3/26/2021,Bismack Biyombo,biyombi01,27.53,2,0.5,0,0,,0,0,,2,5,7,1,1,2,1,3,2,4
202103300LAC,3/30/2021,Ivica Zubac,zubaciv01,35.39,10,0.7,0,0,,0,0,,8,5,13,0,0,0,2,5,14,20
202104080LAC,4/8/2021,Ivica Zubac,zubaciv01,23.49,4,0.75,0,0,,1,2,0.5,3,2,5,0,0,0,2,2,7,10
202104130IND,4/13/2021,Ivica Zubac,zubaciv01,25.32,8,0.875,0,0,,0,0,,2,5,7,2,0,0,1,2,14,16
202104160WAS,4/16/2021,Zion Williamson,willizi01,31.17,18,0.5,0,0,,3,6,0.5,2,4,6,0,1,1,7,6,21,42
202104160DAL,4/16/2021,Elfrid Payton,paytoel01,23.15,8,0.375,0,0,,0,0,,1,6,7,6,0,0,2,3,6,16
202104160MIN,4/16/2021,Bam Adebayo,adebaba01,33.16,8,0.875,0,0,,3,5,0.6,0,4,4,4,0,0,2,4,17,21
202104190DET,4/19/2021,Tyler Cook,cookty01,30.01,11,0.545,0,0,,0,2,0,1,2,3,2,1,0,1,2,12,24
202104220DAL,4/22/2021,Kristaps PorziÅ†Ä£is,porzikr01,28.57,11,0.545,1,1,1,6,7,0.857,2,4,6,1,1,0,0,3,19,30
202104230ATL,4/22/2021,Bam Adebayo,adebaba01,36.25,12,0.5,0,0,,4,6,0.667,0,3,3,5,3,1,5,2,16,30
202104230BRK,4/23/2021,Tristan Thompson,thomptr01,26.04,9,0.333,0,0,,2,4,0.5,4,5,9,0,1,2,0,1,8,22
202104250GSW,4/25/2021,Richaun Holmes,holmeri01,22.14,6,0.667,0,0,,3,6,0.5,2,3,5,0,0,1,0,0,11,18
202104250ORL,4/25/2021,Wendell Carter Jr.,cartewe01,20.44,10,0.4,1,1,1,1,2,0.5,4,9,13,1,0,1,1,2,10,23
202104280MIA,4/28/2021,Bam Adebayo,adebaba01,32.05,11,0.636,0,0,,7,8,0.875,4,7,11,2,1,0,2,4,21,30
202105140GSW,5/14/2021,James Johnson,johnsja01,17.19,2,1,1,1,1,0,0,,0,3,3,3,0,0,2,1,5,5
202105260PHI,5/26/2021,Rui Hachimura,hachiru01,25.5,6,0.667,1,1,1,2,3,0.667,2,5,7,1,0,0,3,4,11,16
202107110MIL,7/11/2021,Deandre Ayton,aytonde01,24.23,11,0.727,0,0,,2,2,1,2,7,9,0,2,0,2,5,18,24
202210220CHI,10/22/2022,DeMar DeRozan,derozde01,32.31,9,0.333,0,0,,7,7,1,0,2,2,1,2,0,0,2,13,25
202210290BRK,10/29/2022,Nic Claxton,claxtni01,22.05,6,0.667,0,0,,0,3,0,2,7,9,0,1,2,0,2,8,15
202211010MIA,11/1/2022,Tyler Herro,herroty01,9.57,4,0.25,0,0,,0,0,,0,1,1,1,1,1,0,0,2,8
202211020POR,11/2/2022,Steven Adams,adamsst01,33.37,9,0.667,0,0,,2,3,0.667,4,7,11,5,0,2,1,2,14,21
202211030OKC,11/3/2022,Shai Gilgeous-Alexander,gilgesh01,35.12,17,0.765,0,0,,11,11,1,1,3,4,3,2,0,4,3,37,45
202211070CHO,11/7/2022,Mason Plumlee,plumlma01,22.19,5,0.2,0,0,,4,6,0.667,7,3,10,5,2,0,2,4,6,16
202211090CHO,11/9/2022,Drew Eubanks,eubandr01,22.18,7,0.857,0,0,,2,4,0.5,3,5,8,2,0,3,3,2,14,18
202211090MIN,11/9/2022,Rudy Gobert,goberru01,29.54,11,0.727,0,0,,9,11,0.818,3,8,11,0,0,3,1,4,25,33
202211140MIL,11/14/2022,Grayson Allen,allengr01,9.37,2,0,0,0,,2,2,1,1,0,1,0,1,0,0,0,2,6
202211160DEN,11/16/2022,Isaiah Hartenstein,harteis01,21.47,1,0,0,0,,0,0,,0,3,3,0,1,1,0,4,0,2
202211180DAL,11/18/2022,DeAndre Jordan,jordade01,20.21,3,1,0,0,,0,1,0,4,3,7,2,1,1,3,2,6,7
202211200DAL,11/20/2022,Dwight Powell,poweldw01,20.17,6,0.833,0,0,,1,4,0.25,3,2,5,1,1,0,1,3,11,16
202211230BOS,11/23/2022,Dwight Powell,poweldw01,10.52,0,,0,0,,1,2,0.5,0,1,1,0,0,1,1,3,1,2
202211250SAS,11/25/2022,Jakob Poeltl,poeltja01,25.13,8,0.625,0,0,,0,0,,5,3,8,4,0,0,3,4,10,16
202211300BOS,11/30/2022,Bam Adebayo,adebaba01,38.21,19,0.526,1,1,1,2,2,1,1,5,6,5,2,0,5,5,23,41
202212060CLE,12/6/2022,Anthony Davis,davisan02,8.07,0,,0,0,,1,3,0.333,1,2,3,2,0,0,0,0,1,3
202212110NYK,12/11/2022,Domantas Sabonis,sabondo01,39.01,10,0.7,0,0,,6,11,0.545,3,9,12,4,0,0,2,2,20,31
202212150UTA,12/15/2022,Jonas ValanÄiÅ«nas,valanjo01,26.09,6,0.5,0,0,,0,0,,3,6,9,1,0,1,1,3,6,12
202212230ATL,12/23/2022,Jalen Duren,durenja01,28.11,7,0.714,0,0,,3,4,0.75,3,5,8,0,0,1,1,2,13,18
202212230ORL,12/23/2022,Jakob Poeltl,poeltja01,21.23,4,0.75,0,0,,0,0,,2,2,4,0,0,1,1,4,6,8
202212270GSW,12/27/2022,Mason Plumlee,plumlma01,29.2,4,0.75,0,0,,1,4,0.25,2,11,13,4,1,4,0,3,7,12
202212270WAS,12/27/2022,Daniel Gafford,gaffoda01,18.33,3,1,0,0,,2,2,1,4,2,6,0,1,1,2,5,8,8
202212280NOP,12/28/2022,Rudy Gobert,goberru01,28.47,5,0.8,0,0,,2,2,1,1,7,8,2,0,4,2,6,10,12
202212280DET,12/28/2022,Markelle Fultz,fultzma01,27.51,12,0.167,0,0,,2,2,1,1,6,7,9,1,0,1,3,6,26
202301060PHO,1/6/2023,Chris Paul,paulch01,12.01,3,0.667,1,1,1,0,0,,0,0,0,1,1,0,1,2,5,7
202301060NOP,1/6/2023,Ben Simmons,simmobe01,33.32,6,0.5,0,0,,0,0,,1,5,6,9,3,1,1,4,6,12
202301090WAS,1/9/2023,Herbert Jones,joneshe01,12.31,2,0.5,0,0,,3,4,0.75,0,0,0,0,1,0,0,1,5,8
202301090BOS,1/9/2023,Ayo Dosunmu,dosunay01,28.26,6,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,6,12
202301120BRK,1/12/2023,Nic Claxton,claxtni01,32.25,7,0.571,0,0,,1,2,0.5,1,8,9,1,1,4,3,0,9,16
202301150LAC,1/15/2023,Alperen ÅžengÃ¼n,sengual01,29.36,12,0.583,1,1,1,0,0,,4,4,8,6,1,1,6,2,15,25
202301180HOU,1/18/2023,Mason Plumlee,plumlma01,29.18,8,0.75,0,0,,5,6,0.833,3,6,9,1,3,0,0,3,17,22
202301200ORL,1/20/2023,Jonas ValanÄiÅ«nas,valanjo01,28.05,19,0.474,1,1,1,1,2,0.5,3,7,10,1,0,1,0,5,20,41
202301220TOR,1/22/2023,Jericho Sims,simsje01,33.15,5,1,0,0,,0,0,,2,5,7,3,0,1,1,2,10,10
202301230UTA,1/23/2023,Mason Plumlee,plumlma01,26.12,6,0.833,0,0,,8,11,0.727,4,4,8,5,0,1,2,0,18,23
